epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1131.6,2.39078,3.1474,1.48733,0.36078,0.04654,0.0317,0.01335,2.3935,3.60637,1.54331,0.000346833,0.000346833,0.000346833
40,1161.86,2.36578,3.0713,1.45689,0.19875,0.05891,0.03094,0.0141,2.419,3.58128,1.55325,0.000341328,0.000341328,0.000341328
41,1191.17,2.36974,3.08476,1.4918,0.20866,0.05176,0.03493,0.01642,2.41354,3.53809,1.55879,0.000335824,0.000335824,0.000335824
42,1220.9,2.28792,3.0634,1.47136,0.27315,0.05948,0.03586,0.01672,2.40937,3.47463,1.56515,0.00033032,0.00033032,0.00033032
43,1250.99,2.2619,3.01419,1.45797,0.26979,0.05744,0.03373,0.01503,2.39546,3.44691,1.56207,0.000324815,0.000324815,0.000324815
44,1280.06,2.31117,2.99981,1.44863,0.26159,0.11065,0.03977,0.0185,2.37039,3.45041,1.52457,0.000319311,0.000319311,0.000319311
45,1308.33,2.28633,3.03801,1.43685,0.18408,0.11296,0.04269,0.02025,2.37091,3.46078,1.51298,0.000313806,0.000313806,0.000313806
46,1336.83,2.27047,2.94063,1.43454,0.11086,0.11769,0.04936,0.02164,2.3736,3.45506,1.51466,0.000308302,0.000308302,0.000308302
47,1365.52,2.38467,2.99904,1.45851,0.11256,0.1177,0.05383,0.0265,2.37313,3.4172,1.5201,0.000302798,0.000302798,0.000302798
48,1393.06,2.23941,2.86317,1.42729,0.11615,0.12066,0.05612,0.02636,2.39452,3.40279,1.53476,0.000297293,0.000297293,0.000297293
49,1419.8,2.24093,2.8758,1.43226,0.26911,0.1231,0.05742,0.02692,2.39928,3.41407,1.53286,0.000291789,0.000291789,0.000291789
50,1447.35,2.26028,2.87119,1.43427,0.37665,0.04035,0.05828,0.02706,2.39664,3.42315,1.53225,0.000286284,0.000286284,0.000286284
51,1475.72,2.29586,2.83638,1.41474,0.35225,0.05357,0.0588,0.0271,2.40447,3.43193,1.53689,0.00028078,0.00028078,0.00028078
52,1503.69,2.23454,2.80191,1.4197,0.25326,0.11335,0.06158,0.02788,2.41981,3.40548,1.55422,0.000275276,0.000275276,0.000275276
53,1531.13,2.2218,2.77267,1.41144,0.25614,0.1249,0.0614,0.03072,2.41812,3.38317,1.56135,0.000269771,0.000269771,0.000269771
54,1558.33,2.1491,2.6949,1.41539,0.18084,0.14,0.05457,0.02535,2.41268,3.34201,1.56917,0.000264267,0.000264267,0.000264267
55,1587.26,2.29157,2.8544,1.43633,0.36852,0.04992,0.05123,0.02471,2.41663,3.31573,1.56918,0.000258762,0.000258762,0.000258762
56,1614.45,2.21216,2.78826,1.42355,0.20807,0.10623,0.0471,0.02144,2.40318,3.26688,1.56068,0.000253258,0.000253258,0.000253258
57,1642.18,2.15514,2.68492,1.39069,0.26304,0.10923,0.04832,0.02221,2.39497,3.23403,1.55815,0.000247754,0.000247754,0.000247754
58,1669.43,2.13515,2.69422,1.38381,0.26489,0.10435,0.04424,0.01755,2.39477,3.18137,1.56075,0.000242249,0.000242249,0.000242249
59,1697.86,2.14601,2.61772,1.39951,0.27513,0.09851,0.0477,0.01791,2.37685,3.15974,1.54938,0.000236745,0.000236745,0.000236745
60,1725.6,2.17806,2.65166,1.40586,0.35956,0.09714,0.06021,0.02653,2.33869,3.13962,1.52299,0.00023124,0.00023124,0.00023124
61,1753.49,2.14352,2.61187,1.38989,0.38512,0.10474,0.06251,0.02792,2.33489,3.15457,1.51885,0.000225736,0.000225736,0.000225736
62,1781.47,2.25075,2.73823,1.38999,0.31086,0.10671,0.06374,0.02951,2.33578,3.15882,1.52108,0.000220232,0.000220232,0.000220232
63,1809.6,2.10316,2.57268,1.39056,0.24277,0.11064,0.06769,0.03247,2.3372,3.14475,1.51752,0.000214727,0.000214727,0.000214727
64,1837.98,2.10017,2.54011,1.37737,0.16884,0.12062,0.07623,0.03651,2.33613,3.10509,1.50486,0.000209223,0.000209223,0.000209223
65,1865.58,2.15154,2.65545,1.40093,0.16941,0.12156,0.07979,0.03993,2.33193,3.07587,1.50271,0.000203718,0.000203718,0.000203718
66,1894.02,2.15046,2.58898,1.39515,0.24504,0.10943,0.08486,0.04044,2.33398,3.05201,1.50601,0.000198214,0.000198214,0.000198214
67,1921.75,2.0908,2.56519,1.35287,0.16424,0.11106,0.08725,0.04168,2.34059,3.03128,1.50912,0.00019271,0.00019271,0.00019271
68,1948.93,2.05132,2.50751,1.37116,0.17717,0.10836,0.08363,0.04072,2.34526,3.00013,1.51443,0.000187205,0.000187205,0.000187205
69,1976.36,2.12937,2.64605,1.40132,0.17686,0.10942,0.0832,0.04045,2.34157,3.01152,1.51429,0.000181701,0.000181701,0.000181701
70,2003.71,2.06575,2.51722,1.38048,0.1906,0.10071,0.08223,0.03969,2.3336,3.02588,1.51529,0.000176196,0.000176196,0.000176196
71,2031.28,2.13005,2.61891,1.38398,0.34993,0.09018,0.08024,0.03933,2.3271,3.04302,1.51204,0.000170692,0.000170692,0.000170692
72,2058.81,2.09361,2.60179,1.35859,0.24404,0.10482,0.08341,0.04017,2.33231,3.08205,1.50278,0.000165188,0.000165188,0.000165188
73,2086.39,2.14766,2.64842,1.39566,0.24274,0.12437,0.08417,0.03997,2.34348,3.10676,1.49831,0.000159683,0.000159683,0.000159683
74,2115.06,2.13097,2.47879,1.35739,0.24522,0.12123,0.08915,0.04361,2.34472,3.11057,1.49732,0.000154179,0.000154179,0.000154179
75,2143.04,2.0689,2.5464,1.37123,0.23091,0.12603,0.09132,0.04481,2.33179,3.10638,1.49118,0.000148674,0.000148674,0.000148674
76,2171.19,2.0987,2.46862,1.35501,0.26204,0.13798,0.08792,0.04227,2.33228,3.07471,1.50646,0.00014317,0.00014317,0.00014317
77,2199.8,2.0956,2.51508,1.35667,0.25549,0.13896,0.08899,0.04282,2.33777,3.06129,1.5164,0.000137666,0.000137666,0.000137666
78,2227.97,2.15829,2.54399,1.37261,0.25716,0.14628,0.09276,0.04363,2.33826,3.04878,1.5202,0.000132161,0.000132161,0.000132161
79,2255.45,1.99653,2.40329,1.36127,0.2567,0.146,0.09381,0.04431,2.33995,3.03436,1.52441,0.000126657,0.000126657,0.000126657
80,2283.66,2.03705,2.48079,1.3564,0.27209,0.12238,0.1039,0.04691,2.34799,3.02172,1.5304,0.000121152,0.000121152,0.000121152
81,2310.65,1.99528,2.36991,1.3486,0.25041,0.15475,0.10199,0.04468,2.34944,3.01787,1.52456,0.000115648,0.000115648,0.000115648
82,2338.46,2.04435,2.37395,1.34519,0.24471,0.14975,0.09963,0.04446,2.3531,3.01302,1.52509,0.000110144,0.000110144,0.000110144
83,2366.67,2.04519,2.42751,1.35677,0.24094,0.14779,0.09953,0.04441,2.36022,3.00887,1.52586,0.000104639,0.000104639,0.000104639
84,2394.52,2.09255,2.48444,1.33975,0.24214,0.14226,0.09363,0.04165,2.36006,2.9956,1.51945,9.91348e-05,9.91348e-05,9.91348e-05
85,2422.59,2.11227,2.48625,1.36983,0.24064,0.14271,0.09586,0.04314,2.35834,2.98984,1.51737,9.36304e-05,9.36304e-05,9.36304e-05
86,2450.76,2.02367,2.48026,1.34825,0.23998,0.14859,0.09224,0.04269,2.354,2.98851,1.51576,8.8126e-05,8.8126e-05,8.8126e-05
87,2479.12,2.07862,2.39525,1.34224,0.23862,0.14506,0.09106,0.04274,2.34782,2.99054,1.51076,8.26216e-05,8.26216e-05,8.26216e-05
88,2507.08,2.03073,2.42456,1.3452,0.24123,0.14536,0.09233,0.04276,2.35102,2.99764,1.5128,7.71172e-05,7.71172e-05,7.71172e-05
89,2536.1,2.00852,2.3557,1.3195,0.24342,0.15313,0.09478,0.04339,2.35238,2.99772,1.51722,7.16128e-05,7.16128e-05,7.16128e-05
90,2563.84,2.00524,2.36484,1.3277,0.24123,0.14366,0.09346,0.0428,2.34857,2.99957,1.51513,6.61084e-05,6.61084e-05,6.61084e-05
91,2591.57,2.06607,2.5243,1.34868,0.23647,0.14098,0.09452,0.04278,2.34621,2.99467,1.51281,6.0604e-05,6.0604e-05,6.0604e-05
92,2619.02,2.02406,2.47261,1.35108,0.25257,0.11941,0.09657,0.04434,2.33877,2.97069,1.51021,5.50996e-05,5.50996e-05,5.50996e-05
93,2646.49,1.9902,2.43316,1.33595,0.28656,0.09647,0.10033,0.04587,2.32931,2.9616,1.51012,4.95952e-05,4.95952e-05,4.95952e-05
94,2674.32,2.09098,2.53524,1.38635,0.20647,0.10284,0.09997,0.04522,2.32273,2.96095,1.51062,4.40908e-05,4.40908e-05,4.40908e-05
95,2702.52,1.98212,2.32094,1.35233,0.20627,0.1042,0.10219,0.04584,2.31589,2.95799,1.51219,3.85864e-05,3.85864e-05,3.85864e-05
96,2731.59,2.00731,2.36689,1.34514,0.19701,0.14757,0.10025,0.04664,2.30295,2.95533,1.50647,3.3082e-05,3.3082e-05,3.3082e-05
97,2775.17,2.00714,2.41747,1.36091,0.20178,0.13846,0.10127,0.04682,2.29922,2.953,1.50392,2.75776e-05,2.75776e-05,2.75776e-05
98,2802.44,1.93094,2.35212,1.33401,0.19886,0.14042,0.10162,0.04685,2.3002,2.9555,1.50214,2.20732e-05,2.20732e-05,2.20732e-05
99,2829.51,1.93429,2.33014,1.3235,0.19354,0.13597,0.10005,0.04715,2.29818,2.95708,1.50251,1.65688e-05,1.65688e-05,1.65688e-05
100,2856.05,1.98561,2.40468,1.35591,0.18885,0.13548,0.09981,0.0465,2.29305,2.96206,1.49855,1.10644e-05,1.10644e-05,1.10644e-05
