epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7793,3.32812,5.03598,2.3514,0,0,0,0,3.00714,5.06405,2.16476,2.224e-05,2.224e-05,2.224e-05
2,54.6162,3.30014,4.99073,2.30415,0,0,0,0,2.99141,5.06354,2.16226,4.95446e-05,4.95446e-05,4.95446e-05
3,80.5349,3.26758,4.99343,2.24914,0,0,0,0,2.9611,5.03148,2.05902,7.62988e-05,7.62988e-05,7.62988e-05
4,106.992,3.10607,4.93445,2.13783,0,0,0,0,2.96395,4.99386,1.99258,0.000102502,0.000102502,0.000102502
5,133.934,3.06839,4.90046,2.09528,0,0,0,0,2.97261,4.9647,1.91494,0.000128156,0.000128156,0.000128156
6,160.346,3.06539,4.89151,2.03911,0.03846,0.00308,0.02135,0.00842,3.03318,4.93392,1.85323,0.000153259,0.000153259,0.000153259
7,186.884,2.92614,4.81627,1.94071,0.00081,0.00154,0.00046,0.00023,3.10251,4.86451,1.6828,0.000177811,0.000177811,0.000177811
8,214.147,2.95862,4.77535,1.83609,0.00107,0.01231,0.00063,0.00021,3.1169,4.83053,1.60148,0.000201813,0.000201813,0.000201813
9,240.621,2.77859,4.63606,1.80996,0.00056,0.03091,0.00059,0.00014,2.88882,4.79421,1.55685,0.000225265,0.000225265,0.000225265
10,268.294,2.81608,4.66172,1.79408,0.00121,0.03352,0.00096,0.00026,2.80413,4.77164,1.55912,0.000248166,0.000248166,0.000248166
11,295.799,2.74306,4.52104,1.74963,0.00124,0.03706,0.00145,0.00026,2.75905,4.72842,1.54347,0.000270516,0.000270516,0.000270516
12,323.528,2.7456,4.4768,1.70011,0.00061,0.03776,0.00147,0.0004,2.79417,4.65782,1.54919,0.000292316,0.000292316,0.000292316
13,351.518,2.64916,4.37599,1.67081,0.92648,0.00154,0.00199,0.00059,2.80897,4.62619,1.55943,0.000313566,0.000313566,0.000313566
14,379.957,2.65463,4.29444,1.65905,0.94297,0.00308,0.00311,0.00084,2.82952,4.57613,1.61538,0.000334266,0.000334266,0.000334266
15,408.731,2.60442,4.23068,1.62283,0.92616,0.00923,0.00181,0.0004,2.88743,4.66006,1.69435,0.000354414,0.000354414,0.000354414
16,437.712,2.60191,4.13724,1.60987,0.92857,0.00923,0.00436,0.00165,2.87215,4.65351,1.67768,0.000374013,0.000374013,0.000374013
17,469.569,2.59987,4.12097,1.60068,0.93591,0.00769,0.01086,0.004,2.76544,4.53695,1.60365,0.000393061,0.000393061,0.000393061
18,501.832,2.64567,4.09402,1.57197,0.00819,0.11585,0.01396,0.00481,2.70664,4.44239,1.60012,0.000411558,0.000411558,0.000411558
19,533.741,2.54237,4.01623,1.55544,0.00712,0.21346,0.02586,0.01062,2.70048,4.37718,1.63174,0.000429506,0.000429506,0.000429506
20,566.513,2.60341,3.97508,1.54086,0.00602,0.20129,0.03675,0.01562,2.58051,4.3238,1.60344,0.000446902,0.000446902,0.000446902
21,597.778,2.58498,3.87861,1.50727,0.95619,0.00923,0.04458,0.01492,2.55672,4.34923,1.60949,0.000445912,0.000445912,0.000445912
22,627.396,2.54611,3.82422,1.52457,0.00664,0.20502,0.05069,0.01639,2.54947,4.35783,1.60845,0.000440408,0.000440408,0.000440408
23,657.356,2.47538,3.86344,1.52835,0.39534,0.0712,0.06422,0.01597,2.54221,4.3439,1.60071,0.000434903,0.000434903,0.000434903
24,687.328,2.47876,3.74729,1.54356,0.24467,0.07512,0.09868,0.01713,2.53863,4.24591,1.62009,0.000429399,0.000429399,0.000429399
25,716.573,2.41556,3.65169,1.52672,0.24759,0.07706,0.1001,0.01715,2.5191,4.16432,1.61366,0.000423894,0.000423894,0.000423894
26,746.274,2.54737,3.71695,1.54678,0.09366,0.20983,0.0969,0.02332,2.52631,4.15869,1.60124,0.00041839,0.00041839,0.00041839
27,776.44,2.53361,3.65134,1.49427,0.01034,0.20354,0.05836,0.01526,2.52863,4.17978,1.59262,0.000412886,0.000412886,0.000412886
28,806.214,2.51464,3.57113,1.48143,0.01135,0.23855,0.03035,0.01203,2.47974,4.06547,1.57095,0.000407381,0.000407381,0.000407381
29,835.471,2.44632,3.42607,1.48127,0.17785,0.10092,0.03026,0.01254,2.47366,3.99053,1.58052,0.000401877,0.000401877,0.000401877
30,865.224,2.42009,3.45414,1.50214,0.26679,0.07452,0.03001,0.01331,2.45977,3.92242,1.57421,0.000396372,0.000396372,0.000396372
31,894.779,2.39433,3.42584,1.46902,0.33836,0.04794,0.0409,0.01889,2.45109,3.88389,1.56871,0.000390868,0.000390868,0.000390868
32,924.183,2.42784,3.44483,1.4841,0.41617,0.05792,0.04459,0.01871,2.42693,3.81139,1.55813,0.000385364,0.000385364,0.000385364
33,953.812,2.44183,3.24417,1.47461,0.70039,0.04254,0.04969,0.02116,2.43304,3.75603,1.56611,0.000379859,0.000379859,0.000379859
34,983.257,2.42233,3.19602,1.4745,0.41091,0.06514,0.05287,0.02527,2.43999,3.69501,1.57097,0.000374355,0.000374355,0.000374355
35,1012.99,2.42379,3.23699,1.48307,0.33038,0.07018,0.05552,0.02872,2.43687,3.67003,1.57258,0.00036885,0.00036885,0.00036885
36,1042.95,2.37869,3.28287,1.46854,0.3332,0.09214,0.04341,0.02233,2.41376,3.63295,1.54629,0.000363346,0.000363346,0.000363346
37,1072.46,2.38062,3.14546,1.49863,0.33662,0.09612,0.03426,0.01502,2.3957,3.62539,1.54042,0.000357842,0.000357842,0.000357842
38,1101.91,2.34956,3.24771,1.45944,0.34394,0.05553,0.0292,0.01281,2.39371,3.61459,1.5428,0.000352337,0.000352337,0.000352337
